feature,importance
pattern_double_trouble_bear,196772.140625
total_bullish_patterns,163178.671875
body_size_pct,118975.5
rsi_oversold,115124.0
is_ny_session,113334.3515625
upper_shadow_pct,78398.8125
volume_regime,72330.53125
hour_of_day,69262.7890625
lower_shadow_pct,60141.07421875
is_overlap_session,59126.921875
spread_proxy,53851.5078125
atr_close_ratio,48670.82421875
bb_width_pct,45572.49609375
returns_5bar_std,43316.75390625
hl_range_pct,42057.296875
day_of_week,41273.1953125
rsi14,41032.046875
returns_20bar_std,40390.7578125
returns_skew,37279.69921875
ema200_ratio,33967.2421875
ema50_slope,33502.5390625
returns_kurt,32701.306640625
macd_signal,29983.89453125
is_london_session,29172.974609375
ema20_slope,28667.9140625
ema50_above_200,27118.49609375
obv_slope,27065.0078125
ema_bullish_alignment,23776.529296875
returns_5bar_mean,22268.099609375
stoch_overbought,22015.666015625
