feature,importance
hour_of_day,1735.0
atr_close_ratio,1523.0
ema200_ratio,1293.0
direction_flag,1147.0
day_of_week,1123.0
returns_20bar_std,1055.0
bb_width_pct,649.0
obv_slope,597.0
returns_kurt,582.0
macd_signal,570.0
returns_skew,507.0
ema50_slope,418.0
volume_regime,352.0
spread_proxy,342.0
ema50_ratio,272.0
returns_5bar_std,271.0
macd_histogram,257.0
upper_shadow_pct,227.0
lower_shadow_pct,207.0
ema20_slope,196.0
is_ny_session,172.0
returns_20bar_mean,157.0
ema50_above_200,145.0
body_size_pct,144.0
hl_range_pct,141.0
rsi14,131.0
stoch_d,130.0
vwap_distance,123.0
bb_position,118.0
returns_5bar_mean,111.0
